par_interacao
Buteo platypterus | eats | Formicidae
Setophaga fusca | eats | Formicidae
Leiothlypis ruficapilla | eats | Formicidae
Zonotrichia leucophrys | eats | Formicidae
Thryothorus ludovicianus | eats | Formicidae
Dumetella carolinensis | eats | Formicidae
Clinopodium acinos | flowersVisitedBy | Formicidae
Trinia glauca | flowersVisitedBy | Formicidae
Smyrnium olusatrum | flowersVisitedBy | Formicidae
Lotus corniculatus | flowersVisitedBy | Formicidae
Trilepida koppesi | preysOn | Formicidae
Helminthophis frontalis | preysOn | Formicidae
Afrotyphlops punctatus | preysOn | Formicidae
Typhlops diardii | preysOn | Formicidae
Ramphotyphlops braminus | preysOn | Formicidae
Liotyphlops beui | preysOn | Formicidae
Anilios proximus | preysOn | Formicidae
Anilios pinguis | preysOn | Formicidae
Anilios ligatus | preysOn | Formicidae
Ramphotyphlops polygrammicus | preysOn | Formicidae
Anilios nigrescens | preysOn | Formicidae
Anilios waitii | preysOn | Formicidae
Austrotyphlops bituberculatus | preysOn | Formicidae
Anilios hamatus | preysOn | Formicidae
Anilios australis | preysOn | Formicidae
Anilios wiedii | preysOn | Formicidae
Megatyphlops mucruso | preysOn | Formicidae
Megatyphlops schlegelii schlegelii | preysOn | Formicidae
Rhinotyphlops lalandei | preysOn | Formicidae
Afrotyphlops schlegelii petersii | preysOn | Formicidae
Afrotyphlops fornasinii | preysOn | Formicidae
Afrotyphlops bibronii | preysOn | Formicidae
Leptotyphlops conjunctus | preysOn | Formicidae
Leptotyphlops scutifrons scutifrons | preysOn | Formicidae
Rena dulcis | preysOn | Formicidae
Rena humilis humilis | preysOn | Formicidae
Letheobia obtusa | preysOn | Formicidae
Eirenis modestus | preysOn | Formicidae
Opheodrys aestivus | preysOn | Formicidae
ex. Chilopsis linearis guarding aphids | hostOf | Formicidae
Glycine max | hostOf | Formicidae
Oak-Hickory woods | interactsWith | Formicidae
ex. Bombus fervidus nest | hostOf | Formicidae
Yucca | hostOf | Formicidae
Proctacanthus nigriventris | interactsWith | Formicidae
Neivamyrmex gibbatus | interactsWith | Formicidae
Neivamyrmex pilosus | interactsWith | Formicidae
Eciton vagans | interactsWith | Formicidae
Eciton burchellii foreli | interactsWith | Formicidae
Eciton mexicanum | interactsWith | Formicidae
Eciton hamatum | interactsWith | Formicidae
Eciton lucanoides | interactsWith | Formicidae
Eciton dulcium | interactsWith | Formicidae
Nomamyrmex esenbeckii | interactsWith | Formicidae
Eciton | interactsWith | Formicidae
Pitfalls | interactsWith | Formicidae
ex tamarack/maple swamp | hostOf | Formicidae
ex rotten figs | hostOf | Formicidae
ex mushrooms & litter | hostOf | Formicidae
ex leaf litter | hostOf | Formicidae
Hemiptera | hasHost | Formicidae
Sphaeralcea | interactsWith | Formicidae
Thestor yildizae | hasHost | Formicidae
Liphyra brassolis | hasHost | Formicidae
Acrodipsas illidgei | hasHost | Formicidae
Brienomyrus brachyistius | eats | Formicidae
Brycinus leuciscus | eats | Formicidae
Tachysurus fulvidraco | eats | Formicidae
Pelteobagrus ussuriensis | eats | Formicidae
Hemibarbus labeo | eats | Formicidae
Acipenser baerii | eats | Formicidae
Coregonus albula | eats | Formicidae
Atherinomorus vaigiensis | eats | Formicidae
Plagopterus argentissimus | eats | Formicidae
Synbranchus marmoratus | eats | Formicidae
Odontostilbe fugitiva | eats | Formicidae
Excoecaria benthiamiana | eatenBy | Formicidae
Mimusops sechellarum | eatenBy | Formicidae
Phoenicophorium borsigianum | eatenBy | Formicidae
Craterispermum microdon | eatenBy | Formicidae
Erythroxlum sechellarum | eatenBy | Formicidae
Cinnamomum verum | eatenBy | Formicidae
Campnospermum seychellarum | eatenBy | Formicidae
Soulamea terminaloides | eatenBy | Formicidae
Paragenipa lancifolia | eatenBy | Formicidae
Memecylon elaeagni | eatenBy | Formicidae
Nephrosperma vanhoutteanum | eatenBy | Formicidae
Syzygium wrightii | eatenBy | Formicidae
Roscheria melanochaetes | eatenBy | Formicidae
Dillenia ferruginea | eatenBy | Formicidae
Psidium cattleianum | eatenBy | Formicidae
Psychotria pervillei | eatenBy | Formicidae
Ochna kirkii | eatenBy | Formicidae
Pyrostria bibracteata | eatenBy | Formicidae
Calochortus macrocarpus | pollinatedBy | Formicidae
Zygadenus venenosus | pollinatedBy | Formicidae
Lomatium utriculatum | pollinatedBy | Formicidae
Achillea millefolium | pollinatedBy | Formicidae
Mahonia | pollinatedBy | Formicidae
Sanicula crassicaulis | pollinatedBy | Formicidae
Taraxacum | pollinatedBy | Formicidae
Maianthemum racemosum | pollinatedBy | Formicidae
Rumex acetosella | pollinatedBy | Formicidae
Gilia tricolor | pollinatedBy | Formicidae
Lepidium heterophyllum | pollinatedBy | Formicidae
Lomatium bradshawii | pollinatedBy | Formicidae
Plectritis congesta | pollinatedBy | Formicidae
IP.324569 | interactsWith | Formicidae
IP.324567 | interactsWith | Formicidae
IP.324564 | interactsWith | Formicidae
IP.324566 | interactsWith | Formicidae
IP.324562 | interactsWith | Formicidae
IP.324565 | interactsWith | Formicidae
IP.324561 | interactsWith | Formicidae
IP.324568 | interactsWith | Formicidae
IP.324571 | interactsWith | Formicidae
IP.324563 | interactsWith | Formicidae
IP.324570 | interactsWith | Formicidae
IP.462251 | interactsWith | Formicidae
IP.462250 | interactsWith | Formicidae
IP.462113 | interactsWith | Formicidae
IP.462114 | interactsWith | Formicidae
IP.462115 | interactsWith | Formicidae
IP.461038 | interactsWith | Formicidae
IP.461036 | interactsWith | Formicidae
IP.461035 | interactsWith | Formicidae
IP.461037 | interactsWith | Formicidae
IP.359617 | interactsWith | Formicidae
IP.359620 | interactsWith | Formicidae
IP.359623 | interactsWith | Formicidae
IP.359619 | interactsWith | Formicidae
IP.359621 | interactsWith | Formicidae
IP.359618 | interactsWith | Formicidae
IP.359615 | interactsWith | Formicidae
IP.359622 | interactsWith | Formicidae
IP.359616 | interactsWith | Formicidae
IP.462548 | interactsWith | Formicidae
IP.359272 | interactsWith | Formicidae
IP.359271 | interactsWith | Formicidae
IP.359269 | interactsWith | Formicidae
IP.359270 | interactsWith | Formicidae
IP.462434 | interactsWith | Formicidae
IP.464228 | interactsWith | Formicidae
IP.464229 | interactsWith | Formicidae
IP.461876 | interactsWith | Formicidae
IP.359555 | interactsWith | Formicidae
IP.359561 | interactsWith | Formicidae
IP.359557 | interactsWith | Formicidae
IP.359560 | interactsWith | Formicidae
IP.359562 | interactsWith | Formicidae
IP.359565 | interactsWith | Formicidae
IP.359564 | interactsWith | Formicidae
IP.359556 | interactsWith | Formicidae
IP.359563 | interactsWith | Formicidae
IP.359558 | interactsWith | Formicidae
IP.359559 | interactsWith | Formicidae
IP.461789 | interactsWith | Formicidae
IP.466291 | interactsWith | Formicidae
IP.466290 | interactsWith | Formicidae
IP.460925 | interactsWith | Formicidae
IP.460825 | interactsWith | Formicidae
IP.465980 | interactsWith | Formicidae
IP.462346 | interactsWith | Formicidae
IP.466349 | interactsWith | Formicidae
IP.465670 | interactsWith | Formicidae
IP.461064 | interactsWith | Formicidae
IP.461066 | interactsWith | Formicidae
IP.461071 | interactsWith | Formicidae
IP.461070 | interactsWith | Formicidae
IP.461061 | interactsWith | Formicidae
IP.461075 | interactsWith | Formicidae
IP.461063 | interactsWith | Formicidae
IP.461074 | interactsWith | Formicidae
IP.461067 | interactsWith | Formicidae
IP.461062 | interactsWith | Formicidae
IP.461068 | interactsWith | Formicidae
IP.461073 | interactsWith | Formicidae
IP.461069 | interactsWith | Formicidae
IP.461078 | interactsWith | Formicidae
IP.461079 | interactsWith | Formicidae
IP.461076 | interactsWith | Formicidae
IP.461065 | interactsWith | Formicidae
IP.461077 | interactsWith | Formicidae
IP.461072 | interactsWith | Formicidae
IP.462443 | interactsWith | Formicidae
IP.462394 | interactsWith | Formicidae
IP.462395 | interactsWith | Formicidae
IP.462092 | interactsWith | Formicidae
JQ266200 | pathogenOf | Formicidae
JQ266198 | pathogenOf | Formicidae
HQ880805 | pathogenOf | Formicidae
Catalpa speciosa | flowersVisitedBy | Formicidae
Gazania krebsiana | pollinatedBy | Formicidae
Pyxidanthera barbulata | flowersVisitedBy | Formicidae
Eriogonum brandegeei | flowersVisitedBy | Formicidae
Dicerandra frutescens | flowersVisitedBy | Formicidae
Ebenus armitagei | eatenBy | Formicidae
Acacia saligna | hasVector | Formicidae
Acacia cyclops | hasVector | Formicidae
Vachellia tortilis | eatenBy | Formicidae
Acacia nilotica | eatenBy | Formicidae
Elaphropus vernicatus | interactsWith | Formicidae
Ursus americanus | preysOn | Formicidae
Notiosorex crawfordi | preysOn | Formicidae
Zenaida asiatica | eatenBy | Formicidae
Mus musculus | eats | Formicidae
North American deermouse | eats | Formicidae
Hipposideros armiger | preysOn | Formicidae
Pipistrellus subflavus | preysOn | Formicidae
Eptesicus fuscus | preysOn | Formicidae
Myotis lucifugus | preysOn | Formicidae
Lasiurus cinereus | preysOn | Formicidae
Lasiurus borealis | preysOn | Formicidae
Myotis sodalis | preysOn | Formicidae
Myotis leibii | preysOn | Formicidae
Eumops perotis | preysOn | Formicidae
Cucurbita moschata | flowersVisitedBy | Formicidae
Litoria gracilenta | preysOn | Formicidae
Cryptoblepharus virgatus | preysOn | Formicidae
Tachyglossus aculeatus | preysOn | Formicidae
Burhinus grallarius | preysOn | Formicidae
Litoria fallax | preysOn | Formicidae
Rhinella marina | preysOn | Formicidae
Centrops phasianus | preysOn | Formicidae
Carlia munda | preysOn | Formicidae
Cyclorana novaehollandiae | preysOn | Formicidae
Carlia jarnoldae | preysOn | Formicidae
Uperoleia mimula | preysOn | Formicidae
Platyplectrum ornatum | preysOn | Formicidae
Carlia pectoralis | preysOn | Formicidae
Todiramphus sanctus | preysOn | Formicidae
Dacelo novaeguineae | preysOn | Formicidae
Tiliqua scincoides | preysOn | Formicidae
Carlia schmeltzii | preysOn | Formicidae
Dacelo leachii | preysOn | Formicidae
Chlamydera nuchalis | preysOn | Formicidae
Litoria rubella | preysOn | Formicidae
Crinia deserticola | preysOn | Formicidae
Morethia taeniopleura | preysOn | Formicidae
Litoria inermis | preysOn | Formicidae
Ctenotus taeniolatus | preysOn | Formicidae
Dicrurus bracteatus | preysOn | Formicidae
Todiramphus macleavw | preysOn | Formicidae
Litoria caerulea | preysOn | Formicidae
Chlamydosaurus kingii | preysOn | Formicidae
Cryptoblepharus plagiocephalus | preysOn | Formicidae
Uperoleia lithomoda | preysOn | Formicidae
Cyclorana brevipes | preysOn | Formicidae
Litoria alboguttata | preysOn | Formicidae
Epimedium alpinum | flowersVisitedBy | Formicidae
Eciton lucanoides | preysOn | Formicidae
Eciton vagans | preysOn | Formicidae
Eciton hamatum | preysOn | Formicidae
Eciton mexicanum | preysOn | Formicidae
Eciton burchellii foreli | preysOn | Formicidae
Eciton | preysOn | Formicidae
Nomamyrmex esenbeckii | preysOn | Formicidae
Neivamyrmex gibbatus | preysOn | Formicidae
Eciton dulcium | preysOn | Formicidae
Neivamyrmex pilosus | preysOn | Formicidae
Anchoa mitchilli | eats | Formicidae
Menidia beryllina | eats | Formicidae
Fundulus grandis | eats | Formicidae
Archosargus probatocephalus | eats | Formicidae
Fundulus similis | eats | Formicidae
Ariopsis felis | eats | Formicidae
Ictalurus punctatus | eats | Formicidae
Strongylura marina | eats | Formicidae
Acari | hasHost | Formicidae
Gliricola porcelli | hasHost | Formicidae
Gaeolaelaps | hasHost | Formicidae
Alliaria petiolata | hostOf | Formicidae
Hesperis matronalis | hostOf | Formicidae
Cynoglossum officinale | hostOf | Formicidae
Solidago canadensis | hostOf | Formicidae
Barbarea vulgaris | hostOf | Formicidae
Symphyotrichum | hostOf | Formicidae
Daucus carota | hostOf | Formicidae
Glechoma hederacea | hostOf | Formicidae
Taraxacum officinale | hostOf | Formicidae
Berteroa incana | hostOf | Formicidae
Centaurea stoebe | hostOf | Formicidae
Solidago | hostOf | Formicidae
Rubus | hostOf | Formicidae
Nastanthus agglomeratus | pollinatedBy | Formicidae
Nastanthus spathulatus | pollinatedBy | Formicidae
Hornungia procumbens | pollinatedBy | Formicidae
Eucryphia cordifolia | pollinatedBy | Formicidae
Wahlenbergia fernandeziana | flowersVisitedBy | Formicidae
Wahlenbergia berteroi | flowersVisitedBy | Formicidae
Wahlenbergia berteroi | pollinatedBy | Formicidae
Wahlenbergia fernandeziana | pollinatedBy | Formicidae
Ursus arctos | eats | Formicidae
Euphorbia dendroides | pollinatedBy | Formicidae
Malva subovata | pollinatedBy | Formicidae
Solidago virgaurea | pollinatedBy | Formicidae
Ranunculus bulbosus | pollinatedBy | Formicidae
Alchemilla monticola | pollinatedBy | Formicidae
Potentilla erecta | pollinatedBy | Formicidae
Stellaria graminea | pollinatedBy | Formicidae
Pimpinella saxifraga | pollinatedBy | Formicidae
Viscaria vulgaris | pollinatedBy | Formicidae
Potentilla reptans | pollinatedBy | Formicidae
Cistus ladanifer | pollinatedBy | Formicidae
Sedum | pollinatedBy | Formicidae
Cytisus multiflorus | pollinatedBy | Formicidae
Cytisus striatus | pollinatedBy | Formicidae
Formica nitidiventris | interactsWith | Formicidae
Atta sexdens | interactsWith | Formicidae
Homoptera | interactsWith | Formicidae
Anolis evermanni | interactsWith | Formicidae
